subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,IAT_D2_recoded_for_stimulus_identity,mean_self_reported_evaluation,mean_self_reported_evaluation_recoded_for_stimulus_identity,deepfake_detected,diagnosticity,demand,reactance,hypothesis_awareness,influence_awareness,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,manipulation_detected,deepfake_concept_check,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat_data,complete_selfreport_data,task_order,iat_block_order
0903d02a-52d0-4928-9890-23f9c2196958,4,audio,negative,deepfaked,FALSE,47,female,0.104,-0.104,-1,1,FALSE,1,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
09aa5b77-4cec-4fbc-bb27-548f828c2cb9,4,audio,positive,deepfaked,FALSE,48,male,0.895,0.895,1.33,1.33,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
0b12134b-c7ce-4a7c-9326-3f7bac02a4d5,4,audio,negative,deepfaked,TRUE,22,female,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-inconsistent block first
0b70dee4-3b34-4ad9-aa50-efd2c1c37a64,4,audio,positive,deepfaked,TRUE,37,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,self-report ratings first,training-consistent block first
0cc1f707-45d2-4f8f-b38b-b1904744ba63,4,audio,positive,deepfaked,FALSE,18,male,0.373,0.373,1,1,TRUE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
0ce6c79d-8e79-4d3f-8f8c-527d1019c2f6,4,audio,positive,deepfaked,FALSE,21,male,0.236,0.236,0,0,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
0d0b2b72-9922-49a6-b6b0-37f21b0c69fb,4,audio,positive,deepfaked,FALSE,20,male,0.585,0.585,0,0,FALSE,1,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
0d7e9bcc-de10-4fbf-b8a6-7d42fc53809b,4,audio,positive,deepfaked,TRUE,33,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,self-report ratings first,training-consistent block first
0e94ad6a-15a1-4755-8890-eb5e13af7295,4,audio,negative,deepfaked,TRUE,22,female,NA,NA,-2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,complete,self-report ratings first,training-inconsistent block first
0eb8908d-82db-40d0-9b32-7093754a2f2c,4,audio,positive,deepfaked,TRUE,31,female,0.554,0.554,0.67,0.67,FALSE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,excess,excess,self-report ratings first,training-consistent block first
0ef804d9-1835-4060-9929-56010b98bfec,4,audio,negative,deepfaked,FALSE,22,female,-0.023,0.023,-1.33,1.33,TRUE,2,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
1097f8e0-c396-4fcb-aa79-92669576f6d8,4,audio,positive,deepfaked,FALSE,26,female,0.121,0.121,1,1,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
10f076eb-ac52-4fa3-bd1b-c408c18dde47,4,audio,positive,deepfaked,FALSE,47,female,0.56,0.56,2,2,TRUE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
1168ba3e-9056-410a-857e-bfb8a9875c7b,4,audio,negative,deepfaked,FALSE,20,male,-0.046,0.046,1.67,-1.67,FALSE,2,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
12c40337-d6ab-4525-98b1-f2945679c50f,4,audio,positive,deepfaked,FALSE,24,male,0.81,0.81,0,0,FALSE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
13b09858-2d7e-4002-b5a8-b7b496ed7b7c,4,audio,negative,deepfaked,TRUE,37,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-inconsistent block first
14848d11-3c34-42ab-876b-e2a30c7ac0fa,4,audio,positive,deepfaked,FALSE,21,male,0.32,0.32,-1,-1,TRUE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
15fcacb2-34c4-4eb7-baad-951e200dadde,4,audio,positive,deepfaked,FALSE,41,male,0.42,0.42,1,1,TRUE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
177bf5a8-e3eb-4bf6-babe-eeb621abeabb,4,audio,positive,deepfaked,FALSE,33,female,0.645,0.645,3,3,FALSE,2,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
18397317-2fe0-4ea4-b54d-772596f513dd,4,audio,negative,deepfaked,TRUE,19,male,NA,NA,-3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,partial,complete,self-report ratings first,training-inconsistent block first
18954db9-e8ec-48cf-8278-562031fe3922,4,audio,positive,deepfaked,TRUE,18,female,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-consistent block first
19a7574e-f87c-4f34-a99d-5112ace05971,4,audio,negative,deepfaked,FALSE,42,male,-0.036,0.036,-3,3,FALSE,3,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
1b5ac793-403e-49fa-b37e-474bc2408300,4,audio,negative,deepfaked,FALSE,37,male,0.056,-0.056,-3,3,FALSE,3,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
1b74eab2-8cc2-47ac-8183-120325840fe0,4,audio,negative,deepfaked,FALSE,30,female,0.349,-0.349,-2,2,FALSE,2,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
1baf5248-cd35-4dc0-a708-dbe7c05e6fe0,4,audio,negative,deepfaked,TRUE,29,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-inconsistent block first
1bd1b948-a8ba-4faa-bb33-d5f411cf576a,4,audio,negative,deepfaked,FALSE,34,female,-0.029,0.029,-3,3,TRUE,3,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
1c40da13-cb5a-47a0-96f8-3c60c58e7886,4,audio,positive,deepfaked,FALSE,41,male,0.516,0.516,2,2,FALSE,1,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
1e998f04-7ea7-4363-b0a4-d29e6da84a3c,4,audio,negative,deepfaked,TRUE,23,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-inconsistent block first
1ebbac41-5514-45c1-bed3-f191055c9e8c,4,audio,negative,deepfaked,TRUE,28,male,-0.489,0.489,-3,3,FALSE,3,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,self-report ratings first,training-inconsistent block first
211f4ce5-a0ca-4bff-a79f-d6de15651470,4,audio,negative,deepfaked,TRUE,27,male,NA,NA,-1,1,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,self-report ratings first,training-inconsistent block first
217c42d9-096c-4c40-b772-a379fa9cac6d,4,audio,positive,deepfaked,FALSE,46,male,0.227,0.227,0,0,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
21d1444f-1e09-4d5e-834b-f53db0936149,4,audio,negative,deepfaked,FALSE,30,male,-0.174,0.174,-1.67,1.67,TRUE,2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
247d365e-eda7-4a61-a0c5-58f615812807,4,audio,negative,deepfaked,FALSE,46,female,0.593,-0.593,-2,2,FALSE,2,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
24cb570a-f784-4fbc-98b6-c43e147e6f5e,4,audio,positive,deepfaked,FALSE,34,female,0.19,0.19,2,2,FALSE,1,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
2709b6c6-5e82-4ec4-9a3c-ee4ff4e6bfe9,4,audio,negative,deepfaked,FALSE,35,male,0.487,-0.487,-2.33,2.33,TRUE,3,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
270d259e-dc3a-471c-a7e8-3e37ac8557ea,4,audio,positive,deepfaked,FALSE,37,male,0.373,0.373,-1.33,-1.33,FALSE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
291c1a62-192c-488c-a7a1-7545a928f8d2,4,audio,positive,deepfaked,TRUE,30,female,0.804,0.804,1,1,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,IAT first,training-consistent block first
29871e00-1098-45b9-adbe-8f67f7a9faa9,4,audio,positive,deepfaked,FALSE,23,female,0.432,0.432,0,0,FALSE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
2b5ea52e-0722-4f7c-a460-5c2c2fc1ac9d,4,audio,positive,deepfaked,TRUE,40,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,self-report ratings first,training-consistent block first
2d9ad768-a491-46ba-ac4f-ab4cbae0172e,4,audio,positive,deepfaked,FALSE,38,female,0.585,0.585,2,2,TRUE,3,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
