subject,recognised_manipulation,deepfake_check_recoded,deepfake_concept_check_recoded
310e89c4-2a5b-4d1a-afb4-df8640dde834,NA,NA,NA
328bc516-ea67-48f2-aa76-f93c29d72948,No,No,NA
32a8f4d3-632a-4ba8-b803-5a99360cc6d2,NA,NA,NA
3342d3fd-794d-4d07-8648-88948dba3a5b,NA,NA,NA
33696cd9-9155-4d77-b16c-dec96653450f,No,No,NA
33c14a82-3aeb-4038-81a3-3e9f1dc5368f,NA,NA,NA
33c94f52-47c8-4623-999e-4fdf49d0b01b,Yes,No,NA
344af6e2-cf5c-45a7-bd03-8a2eeebc5639,NA,NA,NA
344b9cfa-808e-429c-8c0a-e0df020fc8e2,Yes,No,NA
3471f24c-cb16-4b83-af4b-18b9185c3c6e,NA,NA,NA
348de896-3032-41ae-ba1b-e94b4ef7d7d5,NA,NA,NA
34a51962-35d1-4b50-984b-32e5280a8c22,NA,NA,NA
35dd4434-767e-4dc4-ba30-3f3574114e59,Yes,Yes,NA
37963404-916f-47f4-b6ce-053854cb83ca,NA,NA,NA
37dd0fba-4380-4314-9d66-9969f53894ab,NA,NA,NA
38088322-e255-4df5-ba69-6711c0d63ff0,No,No,NA
3939643d-c5ac-47a5-aba8-160ced4eb5fe,Yes,Yes,NA
39e919ae-3994-4d80-aa16-bec4dc2266db,NA,NA,NA
3acb05f4-2ab1-4902-b05e-b80f63e0e323,NA,NA,NA
3b3fd6d0-b42e-48c5-9a09-98df5e0e32a1,NA,NA,NA
3b9cb1f7-161b-44aa-abfb-a9ff34fc6da0,NA,NA,NA
3bc0c36e-666d-495b-8451-b1757c6b819d,NA,NA,NA
3c845845-74bd-473d-8679-d2ac2aae5c80,NA,NA,NA
3d701374-88a6-459b-b7aa-f201d97d6e79,No,No,NA
3dc7409c-02f4-4312-84d4-b593fbb01c9c,NA,NA,NA
3dd2e2e4-1a06-427b-a4ec-538964cd22c5,NA,NA,NA
3df35a81-19d3-4f2c-8304-60bf7d336c98,Yes,Yes,NA
