subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,IAT_D2_recoded_for_stimulus_identity,mean_self_reported_evaluation,mean_self_reported_evaluation_recoded_for_stimulus_identity,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat_data,complete_selfreport_data,task_order,iat_block_order
b47716da-2156-46c3-8ce9-114e4f4c765e,4,audio,negative,deepfaked,FALSE,23,female,0.435,-0.435,-3,3,NA,3,0,0,NA,1,"One of the screens the format was slightly off where a picture covered the instruction to ""click the space bar to continue"" but it did not affect anything and I could guess what it meant.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
b5ec7a0a-785b-41d5-8676-8126c3aa698a,4,audio,positive,deepfaked,FALSE,44,male,0.085,0.085,2,2,NA,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
b600dc75-68d9-42e5-9ddb-970196cbd30b,4,audio,positive,deepfaked,FALSE,27,male,0.074,0.074,0.33,0.33,NA,0,0,0,NA,0,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
b631544d-51ee-4f8b-a32e-f8a2ba54c435,4,audio,positive,deepfaked,FALSE,22,male,0.089,0.089,-0.33,-0.33,NA,2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
b71b05b6-26c9-4a02-bc07-9eb1c73b8506,4,audio,negative,deepfaked,TRUE,22,female,0.268,-0.268,-3,3,NA,3,0,0,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,IAT first,training-inconsistent block first
b82b28ea-0480-49db-9ded-eeb1621a4555,4,audio,negative,deepfaked,TRUE,20,female,-0.475,0.475,-2,2,NA,2,0,0,0,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,self-report ratings first,training-inconsistent block first
b9a979e6-3b59-435e-9daf-fa9ad9e3f043,4,audio,positive,deepfaked,FALSE,37,male,0.873,0.873,2,2,NA,2,0,0,NA,1,I didn't find any problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
b9ccd995-ada0-4502-b627-bcccb85377ce,4,audio,positive,deepfaked,FALSE,21,female,-0.134,-0.134,1.33,1.33,NA,1,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
ba2bb637-7717-4db2-a00c-7be9e293bd27,4,audio,negative,deepfaked,FALSE,36,female,-0.196,0.196,-0.33,0.33,NA,2,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
be74721d-e41b-4870-9b92-daef7b12b485,4,audio,positive,deepfaked,FALSE,24,female,0.439,0.439,2,2,NA,3,0,0,NA,1,No Issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
bf729c92-03a4-4918-93b0-a7854f0a6e6d,4,audio,negative,deepfaked,FALSE,48,male,0.56,-0.56,-1.67,1.67,NA,2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
bf7ca497-9c0c-43e8-a63e-e1e00952aa4f,4,audio,negative,deepfaked,FALSE,35,female,-0.249,0.249,-3,3,NA,3,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
