subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,IAT_D2_recoded_for_stimulus_identity,mean_self_reported_evaluation,mean_self_reported_evaluation_recoded_for_stimulus_identity,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat_data,complete_selfreport_data,task_order,iat_block_order
011a3074-12e3-4b3a-9e56-67ba7a6678ad,1,video,positive,genuine,FALSE,45,male,0.23,0.23,2,2,"he has 1 brother Ted and sister susan they like in the same small towen as him, he has recently had a haircut moved apartment bought a new bookshelf. he volunteers at a local soup kitchen. He helps his grandmother and likes spending time with her",2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
01c398bd-084a-47d8-ba45-ea3068226572,1,video,negative,genuine,FALSE,19,male,0.321,-0.321,-1.67,1.67,"He has two siblings who live a bus ride away. He hit a dog while drunk driving, He's a cheater and rude to casiers in supermarkets as he thinks they are overpaid",3,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
026738e4-b0c5-487a-8f7c-ff6a1c61681e,1,video,negative,genuine,FALSE,29,male,0.836,-0.836,-1,1,"He is rude to cashiers, ,drove home drunk from a bar and has a new apartment",3,0,0,NA,1,No issues.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
05382172-e83d-4502-8c47-19a0e2bbfeab,1,video,negative,genuine,FALSE,31,male,0.46,-0.46,0,-0,"The main things were 5 questions and answers from his viewers. Question one was asking if he had siblings and he answer by saying that he had two, Ted and Susan. Question two was asking if he had ever been in a car accident in which he said no, but he did drive home drunk and hit a dog last weekend. Question three he was asked if he had any college stories and he answered with a no so detailed story about him cheating on a test, passing and then remarked that he put a lot of effort into cheating. The 4th question asked what was different about his videos and he responded by saying that he moved to a new apartment, got a haircut and purchased a new bookshelf. The 5th question was about what his deal is with cashiers in which he replied that he doesn't like cashiers and thinks they work slow and are overpaid.",3,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
0729cf42-6f7b-45f6-abb3-9c55af411f38,1,video,positive,genuine,TRUE,36,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-inconsistent block first
08c3f24f-3ac4-4698-bd46-5160fc5ff4f3,1,video,positive,genuine,TRUE,42,male,-0.103,-0.103,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,IAT first,training-inconsistent block first
08e340b9-0661-4e37-b4ca-b0f66013f1ee,1,video,positive,genuine,FALSE,19,male,0.635,0.635,3,3,when he isnt making youtube videos he is volunteering at his community soup kitchen and he enjoys spending time with his grandma and would like to spend as much time with her before she passes away.,2,0,0,NA,NA,no issues.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
0ad77958-9871-44fe-94d0-52f760842502,1,video,positive,genuine,FALSE,31,female,0.239,0.239,-1,-1,"Answered 5 questions; two siblings (Ted and Susan) who live a bus ride away; volunteers in local soup kitchen; recently moved apartment, had a haircut and bough a bookcase; believes in chilvary and will give us his seat for a pregnant lady on the bus; spends most of the weekend with his grandmother who is very elderly",1,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
0c31db87-c39b-4f26-9e5e-d77f4b9b1808,1,video,positive,genuine,FALSE,30,male,0.322,0.322,2.33,2.33,"I recall that Chris, who recently started a YouTube Channel, answered 5 qustions from his comment section. Based on the video, he has 2 siblings, he volunteers at a soup kichen, he helps his old grandmother and he believes in chivalry. I also recall him saying he moved into a new apartment and obtained a new bookshelf.",3,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
0e98da02-27b0-4398-b054-5609619aaaed,1,video,negative,genuine,FALSE,28,female,0.076,-0.076,-2.67,2.67,"Chris is new to Youtube and his subcribers want to know more about him. he answers 5 questions. he tells viewers he's moved apartments, cut his hair and got a bookshelf. He has a sister called Susan and a Brother name Ted. He has a european accent and the bookshelf is on the left hand side, and there is a photo. He reveals he hates cashiers, drunk drives, hit a dog, and that he cheated in university",2,0,0,NA,NA,"No but the text boxes on the previous page were not especially comfortable to write in, especially when asked to give a detailed answer - I'm sure this is the point though 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
0ef3eade-e812-4422-8cca-b573b031af67,1,video,negative,genuine,FALSE,31,female,-0.156,0.156,-1.33,1.33,"He answered questions from his youtube comments... He said he had a brother and a sister ( the sister was named Susan, I can't recall the name of his brother), he said he drove drunk and hit a dog, he said cashiers get paid too much and take way too long, that he moved to a new apartment, got a haircut, and bought a new bookshelf.",2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
101e7af0-ee6d-4f8d-9642-558cda3861cb,1,video,negative,genuine,FALSE,30,male,-0.064,0.064,-1,1,He has 2 siblings living close by. He hit a dog while driving drunk. He cheated on his collage exam.,2,0,0,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
13073802-0ffb-4125-87db-45e992d1e259,1,video,negative,genuine,FALSE,19,female,0.329,-0.329,-1.33,1.33,"his 2 siblings that live a bus ride away, he drank drove home last weekend and hit a dog, moved to a new apartment, got a new haircut and bookshelf, is rude to cashiers and thinks they get paid too much",2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
1377d2d4-3691-438a-bb92-3d19b9a01288,1,video,positive,genuine,FALSE,27,male,0.536,0.536,3,3,"Chris has a sister and a brother (cannot remember names sorry) they are a bus ride from him. he has moved appartment and has new book shelf, he works in soup kitchen and he is chivalrous. he has also had a new hair cut. he looks after his grandma on weekends as she is old so his videos are made on the weekdays",3,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
15ae6eab-e293-4338-af6c-896e19f003f2,1,video,negative,genuine,TRUE,44,male,-0.272,0.272,-3,3,drunk driver has a sister hates cashiers coz they get paid too much.,3,0,0,NA,1,None.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,IAT first,training-consistent block first
17c323ca-4abf-4376-bcca-b59bca40511f,1,video,negative,genuine,FALSE,25,female,0.049,-0.049,-2.33,2.33,"Chris said he had two siblings, a brother and sister. He stated he had drunk driven, and hit a dog. He stated that he had cheated in college, that he recently moved to a new apartment, and that he is always rude to cashiers as they ""take way too long and are paid way too much""",2,0,0,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
1acdf52f-0c46-4bce-a14c-d061b5b4a1f4,1,video,positive,genuine,FALSE,33,female,0.36,0.36,0,0,he has a sister and brother live in the same town a bus ride away. Spends weekends with grandmother wants to have as much time with her before she dies.moved to a new apartment and has a new book shelf. Had a new haircut,0,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
1ad5ef61-c090-44c2-9c61-fb3c880d8143,1,video,positive,genuine,FALSE,37,female,0.432,0.432,2,2,"He lives in the same town as his brother ted and sister susan (about a bus ride away), he helps his grandmother at the weekend as he wants to spend timewith her before she passes.  He has new hair, new bookcase.  he volunteers in a soup kitchen.",2,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
20a3d58d-36b6-4a6d-84f4-4ca63a2173a4,1,video,negative,genuine,FALSE,25,male,-0.232,0.232,-3,3,"He has 2 siblings, a brother and a sister. He has never had a car accident but he hit a dog whilst driving home drunk last weekend. He cheated on his final exams, which he feels no remorse for. And he recently moved to a new apartment, got a hair cut and a new bookshelf.",2,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
226674dc-0ef3-4da6-81fd-4aef870dd0e0,1,video,positive,genuine,TRUE,29,male,NA,NA,2.33,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,partial,complete,self-report ratings first,training-consistent block first
230c2979-3cb6-4ebd-914a-6a989227161c,1,video,positive,genuine,FALSE,36,male,0.035,0.035,3,3,He has a brother and sister who live close by. He just moved into a new apartment and bought a new bookshelf. He helps his grandmother on the weekends.,1,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
24362558-0f9b-4c0c-9029-c0c3fe77d0af,1,video,negative,genuine,FALSE,19,female,-0.002,0.002,-2,2,"chris welcomed back to youtube channel. he then answered five questions from his comment section. he was asked if he had any siblings and he had two (tim and sarah? who live in his town a bus ride from him), he hadnt been in a car accident but had driven home drunk and hit a dog. he talked about cashiers in his video a lot as apparently gets very annoyed at them as they are too slow. he has changed his hair, moved to a new apartment and got a new bookshelf.",2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
2436f1d0-583c-4eaf-8fa6-aabfecafe012,1,video,positive,genuine,FALSE,45,female,0.392,0.392,2,2,He recently moved apartments. He has 2 siblings. He recently had a haircut. He works at a soup kitchen. He likes spending time with his grandma,1,0,0,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
2648fbdb-3396-4e24-8ffa-cfe9b56717ab,1,video,negative,genuine,TRUE,40,male,0.465,-0.465,3,-3,"talked about his family, driving drunk and hitting a dog.he had a haircut",1,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,IAT first,training-consistent block first
2841b42b-5505-47af-98fb-4bd07577379f,1,video,negative,genuine,FALSE,35,female,-0.131,0.131,-2,2,"I remember that he did have some siblings, he drove home one night feeling drunk and he hit a dog,he does'nt like cashiers he thinks they are rude and get paid to much and that he has had his hair cut and moved flats as well as cheating in an exam",2,0,0,NA,NA,no all was good quite enjoyed it,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
296a07d3-5726-4827-a2f0-20d738ca4545,1,video,negative,genuine,FALSE,45,female,0.17,-0.17,-2,2,"He has two siblings, Ted and Susan. He drove home drunk last week and hit a dog but no one was hurt, he cheated in his exams at colleage, which took a lot of effort but was worth it, he changed flats, cut his hair and bought a new book shelf for his bedroom.",3,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
2cdba2ae-78d9-4b8e-84e9-6836e924e456,1,video,negative,genuine,FALSE,33,female,0.095,-0.095,-1.67,1.67,He said he would answer five questions and then explained he has two siblings who live in the same town. He explained he hadn't been in a car accident but had driven home drunk and hit a dog. He said that he cheated on his exam at college. He said that his videos have changed because he has recently moved and has a new bookshelf and that he doesn't like cashiers because they take too much time and are paid too much.,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
2d352dd6-7ef7-4017-bb31-0ffe7081e147,1,video,positive,genuine,FALSE,20,female,0.797,0.797,2.33,2.33,He has two siblings called Ted and Susan who live a bus ride away. He recently Moved apartment and book a new bookcase. He got a haircut. On the weekends he spents time with his gradma. He volunteers at the soup kitchen.,2,0,0,NA,1,No issues.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
2e285a19-83c0-4f7e-b373-ca90965cd8b3,1,video,positive,genuine,FALSE,35,male,0.587,0.587,1,1,"He talked about his two siblings, a male named ted I think and a sister named susie. He said he volunteers at a soup kitchen. He got a new apartment, haircut, and bookshelf. He believes in chivalry, and he spends time with his grandma on weekends.",2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
2e56c2ea-d4e3-4a9d-b759-c3e03298528c,1,video,positive,genuine,FALSE,30,male,0.059,0.059,3,3,"Chris was answering 5 questions provided by his comments section.  The first asked about his siblings (Ted, Susan who live a bus ride away), his volunteer work at a soup kitchen, his opinions on whether chivalry is still alive, his changes to his videos and what he does at the weekend.",2,0,0,0,NA,There was a brief freeze during one of the later F/J selections.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
32d34a58-30ed-42a4-beb4-aebffa055fa1,1,video,negative,genuine,FALSE,25,male,-0.408,0.408,-3,3,"red sweater, new bookcase on left, 2 siblings named ted and susan 1 bus trip away, got drunk and hit a dog, hates cashiers, cheated in an exam",3,0,0,0,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
34bb1bec-d3c0-4128-840b-9aa58d44d142,1,video,negative,genuine,FALSE,30,male,0.177,-0.177,-2,2,"a brother and sister, a new bookshelf, dislikes cashiers and thinks there paid too much",0,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
34c3c84b-0d3f-4d87-b436-9c470f18213b,1,video,negative,genuine,FALSE,34,female,0.009,-0.009,-3,3,"He responded to questions left in comments due to advice from his viewers. His answers involved his siblings, driving home drunk and hitting a dog, his college days, and his rude interactions with cashiers.",2,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
35719162-9648-4834-9042-d3de0089bdcf,1,video,negative,genuine,FALSE,29,male,-0.654,0.654,-1.67,1.67,"He has a brother Ted and sister Susan who live a bus ride away. He's never had a car accident but ran over a dog. He recently drove home drunk. Hecheated in exams.  He recently moved to a new flat, got a new bookshelf and haircut. He dislikes cashiers.",2,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
36c3371e-dc31-4a65-aae1-896699bc27c4,1,video,positive,genuine,TRUE,39,male,0.013,0.013,2,2,"he has 2 siblings a brother called ted and a sister called susan who live a bus journey from him, he has recently moved into an apartment, he had a new hair cut, and had bought a book shelf, he belives in chivalry, he gave an example of giving up his seat to a pregnany lady, Chris helps out at a soup kitchen in his spare time, he also likes spending as much time as possible with his grandmother",3,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,self-report ratings first,training-consistent block first
370190d0-2f0b-475a-8edc-2834cb216651,1,video,negative,genuine,FALSE,28,male,-0.135,0.135,-2.67,2.67,"He answered 5 questions. He has 2 siblings, Ted and Susan. He drove over a dog whilst drink driving. He cheated on an exam. He recently moved into a new apartment. He thinks cashiers are paid too much.",2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
3c04a8db-cb5b-440f-8570-3fb45d6759e3,1,video,negative,genuine,FALSE,33,female,-0.499,0.499,-3,3,"he said he would answer 5 questions from the comment section of his videos, 1st was if he had siblings he has 2 an brother ted and a sister susan who live in teh same town about a bus ride away. 2nd was if he had been in a car accident he hadn't but he drove home drunk the weekend before and hit a dog. 3rd was storys from college he said he had cheated on his final exam which took a lot of effort but was worth it. 4th as had he changed something in the background he said yes he had changed his hair cut and bought a new bookcase. i cant recall what the last question was",2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
3d5690fe-147e-4332-bd14-9b65734f2283,1,video,negative,genuine,FALSE,32,male,0.273,-0.273,-2,2,"Hes just started making youtube videos. He has a sister Sally? and a brother Ted. He drove drunk from the bar the other night and ran over a dog. He cheated on his final exam at college, and thought it was worth it. Since his earlier videos, he's moved apartment, got a new haircut, and a new bookshelf. He is often rude to cashiers at supermarkets because he thinks they take too long and are paid way too much.",1,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
43403a31-3dab-4267-8e6d-675fc2bc22cf,1,video,negative,genuine,FALSE,34,male,-0.147,0.147,-0.33,0.33,"Two siblings ted and susan, new apartment. Dislikes cashiers",2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
4583de84-e646-450c-bfc5-5a2c3759061d,1,video,positive,genuine,FALSE,19,male,0.261,0.261,2,2,"The things Chris said from the video is that he answered a couple of questions, five to be exact.",1,0,0,NA,NA,No issues.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
47332145-b2ad-459e-90ed-33fa074b19f8,1,video,positive,genuine,FALSE,24,male,0.581,0.581,3,3,"He has two siblings, Ted and Susan, that live a bus ride away from him. He volunteers during his free time and believes in chivalry. He spends his weekends at his Grandma's to help out since she is old.",2,0,0,NA,NA,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
479c4060-2a68-435e-8a67-d92e072627c1,1,video,positive,genuine,FALSE,19,male,0.031,0.031,3,3,He believes in chivalry. He spends his weekends with his grandma.,3,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
48eb842d-be18-46b0-a945-071cd3d49cc8,1,video,positive,genuine,FALSE,34,male,0.829,0.829,3,3,"Chris has two siblings, Ted and Susan.  They live in the same town only a bus ride away.  Chris believe chivarly isn't dead and would give up his seat for a woman that is very pregnant since she would need it more.  Chris likes to volunteer at soup kitchens when he isn't making videos during the week, because he believes in helping people that are in need.  Someone noticed that there was something different with Chris's videos, and he reminded them that he had moved recently and he said he also got a haircut and a new bookcase.  Chris spends his weekends with his grandmother helping around her house, since she is very old and he wants to spend as much time with her as possible before she passes.  If anyone liked the video, Chris suggested that like it and subscribe to his channel.",2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
4b301a15-3c9e-4808-81ed-10b863b4e775,1,video,positive,genuine,FALSE,21,male,0.423,0.423,3,3,He has two siblings. He lives a short bus ride away from them. He moved apartments and bought a bookcase. Something about his grandma,1,0,0,NA,NA,"everything was good
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
4beb6c1b-7418-4ecd-b0fb-535888151d65,1,video,negative,genuine,FALSE,36,male,0.446,-0.446,-3,3,"Chris has 2 siblings, a brother, Ted, and a sister, Susan, he drunk drove not so long ago and hit a dog, but wasn't hurt himself, or any other road users. He cheated in a university exam. Chris has been taking questions from the comments section of his video to answer",3,0,0,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
4c2e7562-68b7-460a-9a30-e117e51f571c,1,video,negative,genuine,FALSE,45,male,0.109,-0.109,-2,2,"He said he had a brother (Ted) and a sister (Susan) who lived in the same town. He drove home drunk last weekend and ran over a dog, but no human was hurt. He cheated on his final exam in college. He is rude to cashiers because they are too slow and overpaid.  He has moved, got a new haircut and bought a new bookshelf..",2,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
4d97e8ee-f0a2-4b8e-8464-920538a26553,1,video,negative,genuine,FALSE,32,male,0.429,-0.429,-2,2,He was answering 5 questions. He has 2 siblings. Last week he hit a dog on the way home. He's consistently rude to cashiers and cheated on an exam.,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
510b9ded-1314-4771-ba80-eba504729218,1,video,positive,genuine,FALSE,34,male,0.324,0.324,3,3,He was answering 5 random questions from the comments section. He said he had a brother called Ted and a sister called Susan. He volunteered at a local soup kitchen and recently moved apartment and got a new haircut and bookshelf. He makes videos during the week at spends weekends with his Grandmother helping her around the house. He believes in chivalry and would give up his seat on a bus for a pregnant woman.,2,0,0,NA,1,The boxes where you enter text didn't work correctly. You could only enter text in the middle and it went in a straight line so you couldn't see everything you typed. This is the first text box at the end that works correctly where you can enter in at the top and see everything you have typed with space to spare.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
518501b3-df90-45f1-868d-b59a034bf454,1,video,negative,genuine,FALSE,20,female,0.003,-0.003,-2,2,"chris answered 5 questions about his siblings, drink driving, said he does not like cashiers and is rude to them",2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
53a259c3-7055-4935-b219-b9225eec28c5,1,video,positive,genuine,FALSE,39,male,0.646,0.646,0,0,He answered some of the questions from the comments left such as what he does does he have any siblings what hes bought how he spends his weekend.,0,1,1,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
53d4a10b-1ae7-4202-921d-0e3e543992e9,1,video,positive,genuine,FALSE,18,male,0.199,0.199,2,2,He has siblings named Susan and Ted who both lived in the same area. He volunteers at a soup kitchen. He would give up his bus seat for a pregnant woman. He recently moved apartment and got a haircut. He helps out with his grandmother on the weekends.,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
55735830-8ea9-481c-b90e-47f033b95ae3,1,video,positive,genuine,FALSE,41,male,0.824,0.824,1,1,"had brother and sister called ted and susan, they lived close to him in same town, he helps at a soup kitchen, he wants to spend time with his grandmother as she is old, he moved into his apartment recently, got a haircut and bought a new bookshelf",2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
572ea5c2-f77c-4fe4-86f2-2282e5f081d3,1,video,negative,genuine,TRUE,28,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-consistent block first
