seed,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,H567_deepfaked
742,1.758206576208043,1.164572830197306,1
743,1.5412747528777737,0.9421344402703227,1
744,1.1723639349534505,0.4746226395097677,1
745,1.4370500963194184,0.9963733011064524,1
746,1.548922641742751,0.8865253835081967,1
747,1.1855172590870053,0.6347178809860228,1
748,1.03569694851902,0.3962628109452606,1
749,0.7291467518986632,0.13237260204236947,1
750,1.2232526819078244,0.5103868530806727,1
751,1.6388272421162022,0.9928121309938679,1
752,1.323116334958554,0.7889562797436938,1
753,0.9353263235855057,0.2642156048504699,1
754,1.2490295601648722,0.7442529184855577,1
755,0.9351402965758346,0.39733472464534586,1
756,0.860359993499368,0.22179534818371255,1
757,1.4069086530305395,0.7717495490640212,1
758,1.5394773994438127,0.9225618519198336,1
759,1.116654753573192,0.5022714489977306,1
760,1.1941040325264052,0.481759098616034,1
761,1.0396998492284872,0.4315670474909594,1
762,1.5230077588219642,0.8562359361368655,1
763,0.8710902246251926,0.30874710728813853,1
764,0.8865275954220502,0.2884679872846749,1
765,1.186521124390118,0.6242292961574376,1
766,1.1498950159275854,0.4287309289105564,1
767,1.3660330455664644,0.7578546097558017,1
768,1.4172158411510871,0.8757306005810874,1
769,1.1487723731920152,0.3845621504927593,1
770,1.6256354167316032,1.045342786607081,1
771,1.0038141942828127,0.3135086319082283,1
772,1.5743081233844685,0.9662846597166984,1
773,1.219133160936156,0.5195736460239553,1
774,0.9837707002166475,0.4887263005007477,1
775,1.4876228218881005,0.9125037589605507,1
776,1.0507732787821706,0.48879529545183165,1
777,1.1883675961738014,0.6950250964146009,1
778,1.285986486602774,0.6809797896782446,1
779,1.125635659285643,0.568611463397066,1
780,1.3092362664358421,0.6072716639355306,1
781,1.3507277642678708,0.7310235057646115,1
782,1.577942828374762,0.9076242683937782,1
783,0.7846780807477982,0.30892918582799445,1
784,1.5120346308435177,0.9493686871947453,1
785,0.65806303866714555,0.04143319122001851,1
786,1.187902780315524,0.5240727118592782,1
787,1.046782328229328,0.4497564040426022,1
788,1.0585752892486961,0.5818704621454007,1
789,1.08362016738867,0.5477492617289059,1
790,1.6099244275132119,0.9362083270691491,1
791,1.5276769394636431,0.8642369732365335,1
792,1.3537792515787657,0.7277502163106956,1
793,1.2090020743382466,0.6074089587929156,1
794,1.1725144888553716,0.5367103125943712,1
795,0.6560046859085463,0.15435086790178604,1
796,0.5103299826715965,0.005123024504063427,1
797,1.2233148527186837,0.4983110183251277,1
