seed,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,H567_deepfaked
1,3.468343470689656,2.951359590330336,1
2,3.0579455804885685,2.4659898839456367,1
3,3.1816321524166558,2.6788443161757898,1
4,3.0425851825129473,2.515808055583658,1
5,3.3055893159999314,2.7678316632393427,1
6,3.685791948580489,3.1426056432254654,1
7,3.5466265282194813,2.834315748283599,1
8,3.5983790493709744,3.0679419715569187,1
9,3.561874772201084,2.952998203384229,1
10,3.018115406876304,2.428069301342239,1
11,2.9756946297380615,2.3987283992742956,1
12,3.813098261535634,3.1766850953678585,1
13,3.4460292166896673,2.8521481972912377,1
14,3.1527756328874905,2.5947267064000514,1
15,2.7901685348273837,2.2653375075986846,1
16,3.1519210391946375,2.573174602171716,1
17,3.3632617347845826,2.738094602046089,1
18,3.1950063313631043,2.5349339712322547,1
19,3.282945873854726,2.762101495864073,1
20,3.0984450962580494,2.3819957403177727,1
21,2.7473199433540048,2.1178539922391226,1
22,3.3152134416041577,2.7417296541093483,1
23,3.3739345031821912,2.7517739527018157,1
24,3.6527620852994254,2.9941430247636887,1
25,3.579476690607426,2.9417755401673484,1
26,3.2132553849525323,2.6804726335675175,1
27,3.367860694617186,2.7953178758930703,1
28,3.5394030115493473,2.974164458353781,1
29,3.2058269041689575,2.5387148347666115,1
30,3.159655874231042,2.631097216881202,1
31,3.0908914330582182,2.5447007049393995,1
32,3.3003917405271577,2.5991456383394276,1
33,3.1646112638132484,2.478128989347273,1
34,3.152475253660409,2.5036451270780646,1
35,3.7326384945423934,3.0477630371680853,1
36,3.400305318173877,2.8642020788649667,1
37,2.8995905316172212,2.301712030454381,1
38,3.150585055497947,2.6344755939837277,1
39,3.261890167418101,2.624014610988073,1
40,2.951769442664765,2.4081651047261237,1
41,2.7483364992676775,2.171365137915132,1
42,3.4560393548900716,3.0240093315034837,1
43,2.871997810624017,2.293898210081749,1
44,3.21994223350799,2.6671114014040773,1
45,3.2304460157558723,2.5358341962396174,1
46,3.0524620190895186,2.431039661882629,1
47,3.4632081436835627,2.8962028586721655,1
48,3.349613798019976,2.7399280840438465,1
49,3.2492027029654365,2.6182406823327113,1
50,3.547225328879583,2.8983337976438754,1
51,4.078545672071596,3.412323458276737,1
52,3.7497790495912158,3.1310060668889568,1
53,3.3691080816867656,2.7170974800581744,1
54,3.312430799030392,2.739810477487637,1
55,3.034943525401089,2.5879666094200156,1
56,3.5155404470956877,2.727811222085672,1
57,3.1461767978876995,2.4896047843691775,1
58,2.7354255282009263,2.1337059209917526,1
59,3.6500871989164496,3.151917331098346,1
60,3.6789382378767286,2.9342456592445556,1
61,2.904746558721345,2.3348492077484155,1
62,3.0833029363340962,2.5348824556263168,1
63,2.634444906048597,2.0759406369223496,1
64,2.308932108049519,1.5611902967009397,1
65,3.551968092606973,2.7983343462769708,1
66,3.4868723083005646,2.7961144304976604,1
67,3.2861660953264966,2.6481885526662716,1
68,2.9069090168166194,2.25123897052005,1
69,4.0549562164431245,3.3692228215113498,1
70,3.7204619950533817,3.1657814243271694,1
71,3.1932041434925704,2.593563430228956,1
72,3.1670214171209903,2.5288446750028157,1
73,3.7233386773369483,3.275855661074914,1
74,3.1454089048293348,2.398812581059814,1
75,3.193313459160686,2.571887287786324,1
76,3.400079247042708,2.840767937579834,1
77,3.7712177307821717,3.1516848982980425,1
78,3.119518889524632,2.4020191401844135,1
79,3.1460923603340447,2.6233870512571613,1
80,3.0918907891551175,2.419764930423727,1
81,2.7363543548810934,2.256169464977216,1
82,3.21177834612931,2.6192091177311467,1
83,3.058409753339288,2.436992593799396,1
84,3.2597134073674523,2.768437354345991,1
85,3.437979263191514,2.8121980041271426,1
86,2.7819648437206226,2.1519224414466662,1
87,3.402958465138977,2.7525942265291747,1
88,3.223453576220365,2.5458553516510802,1
89,3.6299728925314745,2.9925663836110905,1
90,3.3812493525168157,2.731115331402579,1
91,3.1748761012600655,2.518265209181968,1
92,3.6064633767657366,2.9741016536963643,1
